Continent,Land Area,Trade flow,Commodity,year,Quantity
Americas,Antigua and Barbuda,Export,Crustaceans,2000,21
Americas,Antigua and Barbuda,Export,Fish,2000,6
Americas,Antigua and Barbuda,Import,Crustaceans,2000,183
Americas,Antigua and Barbuda,Import,Fish,2000,1377
Americas,Argentina,Export,Crustaceans,2000,32865
Americas,Argentina,Export,Fish,2000,227595
Americas,Argentina,Import,Crustaceans,2000,1024
Americas,Argentina,Import,Fish,2000,36547
Americas,Aruba,Export,Fish,2000,81
Americas,Aruba,Import,Crustaceans,2000,116
Americas,Aruba,Import,Fish,2000,1589
Americas,Bahamas,Export,Crustaceans,2000,3675
Americas,Bahamas,Export,Fish,2000,39
Americas,Bahamas,Import,Crustaceans,2000,556
Americas,Bahamas,Import,Fish,2000,3633
Americas,Barbados,Export,Crustaceans,2000,1
Americas,Barbados,Export,Fish,2000,276
Americas,Barbados,Import,Crustaceans,2000,213
Americas,Barbados,Import,Fish,2000,3400
Americas,Belize,Export,Crustaceans,2000,2378
Americas,Belize,Export,Fish,2000,29
Americas,Belize,Import,Crustaceans,2000,134
Americas,Belize,Import,Fish,2000,233
Americas,Bermuda,Export,Crustaceans,2000,11
Americas,Bermuda,Export,Fish,2000,4
Americas,Bermuda,Import,Crustaceans,2000,206
Americas,Bermuda,Import,Fish,2000,704
Americas,Bolivia (Plurinat.State),Export,Fish,2000,29
Americas,Bolivia (Plurinat.State),Import,Crustaceans,2000,43
Americas,Bolivia (Plurinat.State),Import,Fish,2000,10735
Americas,Brazil,Export,Crustaceans,2000,16031
Americas,Brazil,Export,Fish,2000,40960
Americas,Brazil,Import,Crustaceans,2000,604
Americas,Brazil,Import,Fish,2000,192984
Americas,Canada,Export,Crustaceans,2000,142603
Americas,Canada,Export,Fish,2000,304080
Americas,Canada,Import,Crustaceans,2000,94447
Americas,Canada,Import,Fish,2000,224256
Americas,Cayman Islands,Export,Fish,2000,100
Americas,Cayman Islands,Import,Crustaceans,2000,52
Americas,Cayman Islands,Import,Fish,2000,87
Americas,Chile,Export,Crustaceans,2000,6729
Americas,Chile,Export,Fish,2000,483256
Americas,Chile,Import,Crustaceans,2000,449
Americas,Chile,Import,Fish,2000,9471
Americas,Colombia,Export,Crustaceans,2000,10981
Americas,Colombia,Export,Fish,2000,81683
Americas,Colombia,Import,Crustaceans,2000,178
Americas,Colombia,Import,Fish,2000,54940
Americas,Costa Rica,Export,Crustaceans,2000,2096
Americas,Costa Rica,Export,Fish,2000,30828
Americas,Costa Rica,Import,Crustaceans,2000,209
Americas,Costa Rica,Import,Fish,2000,16263
Americas,Cuba,Export,Crustaceans,2000,7271
Americas,Cuba,Export,Fish,2000,317
Americas,Cuba,Import,Crustaceans,2000,15
Americas,Cuba,Import,Fish,2000,29947
Americas,Curaçao,Export,Crustaceans,2000,0
Americas,Curaçao,Export,Fish,2000,0
Americas,Curaçao,Import,Crustaceans,2000,0
Americas,Curaçao,Import,Fish,2000,0
Americas,Dominica,Export,Fish,2000,0
Americas,Dominica,Import,Crustaceans,2000,5
Americas,Dominica,Import,Fish,2000,671
Americas,Dominican Republic,Export,Crustaceans,2000,39
Americas,Dominican Republic,Export,Fish,2000,1510
Americas,Dominican Republic,Import,Crustaceans,2000,172
Americas,Dominican Republic,Import,Fish,2000,27563
Americas,Ecuador,Export,Crustaceans,2000,35069
Americas,Ecuador,Export,Fish,2000,170314
Americas,Ecuador,Import,Crustaceans,2000,9
Americas,Ecuador,Import,Fish,2000,1983
Americas,El Salvador,Export,Crustaceans,2000,1989
Americas,El Salvador,Export,Fish,2000,1061
Americas,El Salvador,Import,Crustaceans,2000,311
Americas,El Salvador,Import,Fish,2000,4317
Americas,Falkland Is.(Malvinas),Export,Fish,2000,13982
Americas,Falkland Is.(Malvinas),Import,Crustaceans,2000,1
Americas,Falkland Is.(Malvinas),Import,Fish,2000,52
Americas,Greenland,Export,Crustaceans,2000,55274
Americas,Greenland,Export,Fish,2000,48076
Americas,Greenland,Import,Crustaceans,2000,53
Americas,Greenland,Import,Fish,2000,182
Americas,Grenada,Export,Crustaceans,2000,3
Americas,Grenada,Export,Fish,2000,1140
Americas,Grenada,Import,Crustaceans,2000,13
Americas,Grenada,Import,Fish,2000,636
Americas,Guatemala,Export,Crustaceans,2000,3471
