Continent,Land Area,Trade flow,Commodity,year,Quantity
Asia,Afghanistan,Import,Fish,2000,0
Asia,Armenia,Export,Crustaceans,2000,20
Asia,Armenia,Export,Fish,2000,11
Asia,Armenia,Import,Crustaceans,2000,4
Asia,Armenia,Import,Fish,2000,799
Asia,Azerbaijan,Export,Fish,2000,1738
Asia,Azerbaijan,Import,Crustaceans,2000,1
Asia,Azerbaijan,Import,Fish,2000,2827
Asia,Bahrain,Export,Crustaceans,2000,3362
Asia,Bahrain,Export,Fish,2000,1342
Asia,Bahrain,Import,Crustaceans,2000,159
Asia,Bahrain,Import,Fish,2000,2553
Asia,Bangladesh,Export,Crustaceans,2000,28813
Asia,Bangladesh,Export,Fish,2000,9728
Asia,Bangladesh,Import,Crustaceans,2000,186
Asia,Bangladesh,Import,Fish,2000,1680
Asia,Bhutan,Export,Fish,2000,0
Asia,Bhutan,Import,Crustaceans,2000,0
Asia,Bhutan,Import,Fish,2000,0
Asia,Brunei Darussalam,Export,Crustaceans,2000,17
Asia,Brunei Darussalam,Export,Fish,2000,268
Asia,Brunei Darussalam,Import,Crustaceans,2000,764
Asia,Brunei Darussalam,Import,Fish,2000,4367
Asia,Cambodia,Export,Crustaceans,2000,684
Asia,Cambodia,Export,Fish,2000,42685
Asia,Cambodia,Import,Crustaceans,2000,1
Asia,Cambodia,Import,Fish,2000,3162
Asia,China,Export,Crustaceans,2000,142393
Asia,China,Export,Fish,2000,1028335
Asia,China,Import,Crustaceans,2000,80582
Asia,China,Import,Fish,2000,921631
Asia,"China, Hong Kong SAR",Export,Crustaceans,2000,621
Asia,"China, Hong Kong SAR",Export,Fish,2000,47870
Asia,"China, Hong Kong SAR",Import,Crustaceans,2000,60379
Asia,"China, Hong Kong SAR",Import,Fish,2000,180241
Asia,"China, Macao SAR",Export,Crustaceans,2000,301
Asia,"China, Macao SAR",Export,Fish,2000,11
Asia,"China, Macao SAR",Import,Crustaceans,2000,1190
Asia,"China, Macao SAR",Import,Fish,2000,8833
Asia,Cyprus,Export,Crustaceans,2000,37
Asia,Cyprus,Export,Fish,2000,687
Asia,Cyprus,Import,Crustaceans,2000,484
Asia,Cyprus,Import,Fish,2000,5354
Asia,Georgia,Export,Crustaceans,2000,0
Asia,Georgia,Export,Fish,2000,831
Asia,Georgia,Import,Crustaceans,2000,0
Asia,Georgia,Import,Fish,2000,2794
Asia,India,Export,Crustaceans,2000,140974
Asia,India,Export,Fish,2000,307428
Asia,India,Import,Crustaceans,2000,114
Asia,India,Import,Fish,2000,3770
Asia,Indonesia,Export,Crustaceans,2000,128567
Asia,Indonesia,Export,Fish,2000,312271
Asia,Indonesia,Import,Crustaceans,2000,3342
Asia,Indonesia,Import,Fish,2000,26542
Asia,Iran (Islamic Rep. of),Export,Crustaceans,2000,1784
Asia,Iran (Islamic Rep. of),Export,Fish,2000,4987
Asia,Iran (Islamic Rep. of),Import,Crustaceans,2000,0
Asia,Iran (Islamic Rep. of),Import,Fish,2000,4913
Asia,Iraq,Export,Fish,2000,104
Asia,Iraq,Import,Crustaceans,2000,0
Asia,Iraq,Import,Fish,2000,56
Asia,Israel,Export,Fish,2000,291
Asia,Israel,Import,Crustaceans,2000,285
Asia,Israel,Import,Fish,2000,45759
