Continent,Trade flow,Commodity,year,Quantity
Africa,Export,Crustaceans,2000,54080
Africa,Export,Fish,2000,1070236
Africa,Import,Crustaceans,2000,14521
Africa,Import,Fish,2000,1419817
Americas,Export,Crustaceans,2000,504209
Americas,Export,Fish,2000,2557503
Americas,Import,Crustaceans,2000,586547
Americas,Import,Fish,2000,1857472
Asia,Export,Crustaceans,2000,952809
Asia,Export,Fish,2000,4253152
Asia,Import,Crustaceans,2000,755948
Asia,Import,Fish,2000,5449497
Europe,Export,Crustaceans,2000,492010
Europe,Export,Fish,2000,7586347
Europe,Import,Crustaceans,2000,762830
Europe,Import,Fish,2000,6571311
Oceania,Export,Crustaceans,2000,35619
Oceania,Export,Fish,2000,369982
Oceania,Import,Crustaceans,2000,18711
Oceania,Import,Fish,2000,146104
Africa,Export,Crustaceans,2001,61802
Africa,Export,Fish,2001,1085389
Africa,Import,Crustaceans,2001,12968
Africa,Import,Fish,2001,1721471
Americas,Export,Crustaceans,2001,571584
Americas,Export,Fish,2001,3038837
Americas,Import,Crustaceans,2001,672408
Americas,Import,Fish,2001,1877150
Asia,Export,Crustaceans,2001,1092524
Asia,Export,Fish,2001,4582113
Asia,Import,Crustaceans,2001,762867
Asia,Import,Fish,2001,6051653
Europe,Export,Crustaceans,2001,466111
Europe,Export,Fish,2001,7982296
Europe,Import,Crustaceans,2001,803913
Europe,Import,Fish,2001,7192596
Oceania,Export,Crustaceans,2001,34905
Oceania,Export,Fish,2001,354387
Oceania,Import,Crustaceans,2001,21152
Oceania,Import,Fish,2001,157062
Africa,Export,Crustaceans,2002,65959
Africa,Export,Fish,2002,1132724
Africa,Import,Crustaceans,2002,13912
Africa,Import,Fish,2002,1637106
Americas,Export,Crustaceans,2002,612738
Americas,Export,Fish,2002,2971820
Americas,Import,Crustaceans,2002,690652
Americas,Import,Fish,2002,1942318
Asia,Export,Crustaceans,2002,1208515
Asia,Export,Fish,2002,4974817
Asia,Import,Crustaceans,2002,857501
Asia,Import,Fish,2002,6424045
Europe,Export,Crustaceans,2002,492369
Europe,Export,Fish,2002,7868042
Europe,Import,Crustaceans,2002,835063
Europe,Import,Fish,2002,7101272
Oceania,Export,Crustaceans,2002,29726
Oceania,Export,Fish,2002,395961
Oceania,Import,Crustaceans,2002,21393
