Continent,Trade flow,Commodity,year,Quantity,value
Africa,Export,Crustaceans,2000,54080,378910
Africa,Export,Fish,2000,1070236,1552933
Africa,Import,Crustaceans,2000,14521,28038
Africa,Import,Fish,2000,1419817,842775
Americas,Export,Crustaceans,2000,504209,4371608
Americas,Export,Fish,2000,2557503,6248882
Americas,Import,Crustaceans,2000,586547,6192701
Americas,Import,Fish,2000,1857472,5759548
Asia,Export,Crustaceans,2000,952809,7308421
Asia,Export,Fish,2000,4253152,8935351
Asia,Import,Crustaceans,2000,755948,6031521
Asia,Import,Fish,2000,5449497,13279123
Europe,Export,Crustaceans,2000,492010,2555516
Europe,Export,Fish,2000,7586347,14327699
Europe,Import,Crustaceans,2000,762830,4704202
Europe,Import,Fish,2000,6571311,14293567
Oceania,Export,Crustaceans,2000,35619,619629
Oceania,Export,Fish,2000,369982,893089
Oceania,Import,Crustaceans,2000,18711,152742
Oceania,Import,Fish,2000,146104,357480
Africa,Export,Crustaceans,2001,61802,468210
Africa,Export,Fish,2001,1085389,1765719
Africa,Import,Crustaceans,2001,12968,28771
Africa,Import,Fish,2001,1721471,1155670
Americas,Export,Crustaceans,2001,571584,4274591
Americas,Export,Fish,2001,3038837,6796806
Americas,Import,Crustaceans,2001,672408,6185806
Americas,Import,Fish,2001,1877150,5669373
Asia,Export,Crustaceans,2001,1092524,7132865
Asia,Export,Fish,2001,4582113,8993803
Asia,Import,Crustaceans,2001,762867,5148865
Asia,Import,Fish,2001,6051653,12786860
Europe,Export,Crustaceans,2001,466111,2502659
Europe,Export,Fish,2001,7982296,14564883
Europe,Import,Crustaceans,2001,803913,4613155
Europe,Import,Fish,2001,7192596,15310730
Oceania,Export,Crustaceans,2001,34905,538315
Oceania,Export,Fish,2001,354387,898004
Oceania,Import,Crustaceans,2001,21152,150235
Oceania,Import,Fish,2001,157062,368080
Africa,Export,Crustaceans,2002,65959,488594
Africa,Export,Fish,2002,1132724,1829718
Africa,Import,Crustaceans,2002,13912,25060
Africa,Import,Fish,2002,1637106,1139736
Americas,Export,Crustaceans,2002,612738,4195383
Americas,Export,Fish,2002,2971820,6749681
Americas,Import,Crustaceans,2002,690652,6101866
Americas,Import,Fish,2002,1942318,5951064
Asia,Export,Crustaceans,2002,1208515,7090403
Asia,Export,Fish,2002,4974817,9367672
Asia,Import,Crustaceans,2002,857501,5217897
Asia,Import,Fish,2002,6424045,13175466
Europe,Export,Crustaceans,2002,492369,2629385
Europe,Export,Fish,2002,7868042,15584432
Europe,Import,Crustaceans,2002,835063,4546121
Europe,Import,Fish,2002,7101272,16214585
Oceania,Export,Crustaceans,2002,29726,530254
Oceania,Export,Fish,2002,395961,976388
Oceania,Import,Crustaceans,2002,21393,147304
Oceania,Import,Fish,2002,166735,401624
Africa,Export,Crustaceans,2003,52393,405128
Africa,Export,Fish,2003,1171401,2241420
Africa,Import,Crustaceans,2003,17232,48266
Africa,Import,Fish,2003,1764530,1331930
Americas,Export,Crustaceans,2003,669272,4749138
Americas,Export,Fish,2003,3053666,7433208
Americas,Import,Crustaceans,2003,757578,6629426
Americas,Import,Fish,2003,2060191,6452263
Asia,Export,Crustaceans,2003,1354777,7772136
Asia,Export,Fish,2003,5306304,9619345
Asia,Import,Crustaceans,2003,775095,4727527
Asia,Import,Fish,2003,6387309,13329192
Europe,Export,Crustaceans,2003,525829,3128340
Europe,Export,Fish,2003,8058210,17541564
Europe,Import,Crustaceans,2003,954834,5611593
Europe,Import,Fish,2003,7347398,18853772
Oceania,Export,Crustaceans,2003,29049,526196
Oceania,Export,Fish,2003,419109,998166
Oceania,Import,Crustaceans,2003,27946,186017
Oceania,Import,Fish,2003,198864,480173
Africa,Export,Crustaceans,2004,58914,447669
Africa,Export,Fish,2004,1128445,2297366
Africa,Import,Crustaceans,2004,18685,50680
Africa,Import,Fish,2004,2177333,1525192
Americas,Export,Crustaceans,2004,685631,4680885
Americas,Export,Fish,2004,3343849,8222425
Americas,Import,Crustaceans,2004,786134,6666150
Americas,Import,Fish,2004,2191006,7049017
Asia,Export,Crustaceans,2004,1476611,8378673
Asia,Export,Fish,2004,5696860,11761449
Asia,Import,Crustaceans,2004,900255,5646650
Asia,Import,Fish,2004,6859966,15524183
Europe,Export,Crustaceans,2004,561353,3418498
Europe,Export,Fish,2004,8290552,19941321
Europe,Import,Crustaceans,2004,1008699,6013784
Europe,Import,Fish,2004,7552412,21414973
Oceania,Export,Crustaceans,2004,30024,566514
Oceania,Export,Fish,2004,420556,1007120
Oceania,Import,Crustaceans,2004,31741,206969
Oceania,Import,Fish,2004,226864,511154
Africa,Export,Crustaceans,2005,70773,579231
Africa,Export,Fish,2005,1138541,2477476
Africa,Import,Crustaceans,2005,22449,71049
Africa,Import,Fish,2005,2311211,1821401
Americas,Export,Crustaceans,2005,682698,4740177
Americas,Export,Fish,2005,3463735,9343474
Americas,Import,Crustaceans,2005,810779,6852203
Americas,Import,Fish,2005,2294055,7858648
Asia,Export,Crustaceans,2005,1546145,8998416
Asia,Export,Fish,2005,6127684,13235931
Asia,Import,Crustaceans,2005,849862,5231425
Asia,Import,Fish,2005,7359005,16745559
Europe,Export,Crustaceans,2005,567410,3518505
Europe,Export,Fish,2005,8513750,22408410
Europe,Import,Crustaceans,2005,1061511,6504096
Europe,Import,Fish,2005,8026024,24351231
Oceania,Export,Crustaceans,2005,29435,592459
Oceania,Export,Fish,2005,433183,998732
Oceania,Import,Crustaceans,2005,36137,239396
Oceania,Import,Fish,2005,199258,587208
Africa,Export,Crustaceans,2006,81056,576012
Africa,Export,Fish,2006,1298107,2668766
Africa,Import,Crustaceans,2006,26329,87543
Africa,Import,Fish,2006,2886933,2208092
Americas,Export,Crustaceans,2006,739976,5059464
Americas,Export,Fish,2006,3448258,10042946
Americas,Import,Crustaceans,2006,890367,7464514
Americas,Import,Fish,2006,2330189,8887486
Asia,Export,Crustaceans,2006,1707519,9789530
Asia,Export,Fish,2006,6882430,14944270
Asia,Import,Crustaceans,2006,874845,5467041
Asia,Import,Fish,2006,7496046,17004069
Europe,Export,Crustaceans,2006,592629,3822113
Europe,Export,Fish,2006,8362374,24811066
Europe,Import,Crustaceans,2006,1117485,7211431
Europe,Import,Fish,2006,8180821,28265150
Oceania,Export,Crustaceans,2006,26362,612652
Oceania,Export,Fish,2006,420690,996416
Oceania,Import,Crustaceans,2006,40572,277375
Oceania,Import,Fish,2006,195472,624739
Africa,Export,Crustaceans,2007,83118,624320
Africa,Export,Fish,2007,1241779,2981805
Africa,Import,Crustaceans,2007,44497,120117
Africa,Import,Fish,2007,2790748,2604854
Americas,Export,Crustaceans,2007,724744,5057009
Americas,Export,Fish,2007,3394663,10496081
Americas,Import,Crustaceans,2007,876720,7528847
Americas,Import,Fish,2007,2521461,9894668
Asia,Export,Crustaceans,2007,1656380,9879358
Asia,Export,Fish,2007,6920264,16621925
Asia,Import,Crustaceans,2007,841361,5413877
Asia,Import,Fish,2007,7598514,17648277
Europe,Export,Crustaceans,2007,580606,4358485
Europe,Export,Fish,2007,8775755,27867935
Europe,Import,Crustaceans,2007,1160779,7917805
Europe,Import,Fish,2007,8663103,32380885
Oceania,Export,Crustaceans,2007,21008,568890
Oceania,Export,Fish,2007,442396,1158068
Oceania,Import,Crustaceans,2007,39956,298168
Oceania,Import,Fish,2007,209856,773800
Africa,Export,Crustaceans,2008,65244,616042
Africa,Export,Fish,2008,1264741,3311710
Africa,Import,Crustaceans,2008,44813,148298
Africa,Import,Fish,2008,2779246,2780275
Americas,Export,Crustaceans,2008,704241,5256579
Americas,Export,Fish,2008,3264786,11189571
Americas,Import,Crustaceans,2008,857657,7633630
Americas,Import,Fish,2008,2563220,10955422
Asia,Export,Crustaceans,2008,1591215,10282577
Asia,Export,Fish,2008,7077433,19529495
Asia,Import,Crustaceans,2008,812756,5824682
Asia,Import,Fish,2008,7544221,20418528
Europe,Export,Crustaceans,2008,550929,4497979
Europe,Export,Fish,2008,9024126,30589822
Europe,Import,Crustaceans,2008,1112518,8334511
Europe,Import,Fish,2008,8764528,35234664
Oceania,Export,Crustaceans,2008,21573,633621
Oceania,Export,Fish,2008,408614,1156829
Oceania,Import,Crustaceans,2008,34272,274462
Oceania,Import,Fish,2008,217424,853689
Africa,Export,Crustaceans,2009,75560,627663
Africa,Export,Fish,2009,1224784,3271245
Africa,Import,Crustaceans,2009,50375,191186
Africa,Import,Fish,2009,3012232,3048300
Americas,Export,Crustaceans,2009,707388,4637784
Americas,Export,Fish,2009,3126754,10100024
Americas,Import,Crustaceans,2009,852492,6815119
Americas,Import,Fish,2009,2634734,10680549
Asia,Export,Crustaceans,2009,1559874,10033076
Asia,Export,Fish,2009,7145260,18944609
Asia,Import,Crustaceans,2009,821211,5477958
Asia,Import,Fish,2009,7679926,18762380
Europe,Export,Crustaceans,2009,544946,3885714
Europe,Export,Fish,2009,9442684,28778342
Europe,Import,Crustaceans,2009,1094048,7317862
Europe,Import,Fish,2009,8667512,32094205
Oceania,Export,Crustaceans,2009,18643,535134
Oceania,Export,Fish,2009,435120,1174454
Oceania,Import,Crustaceans,2009,38402,288092
Oceania,Import,Fish,2009,205071,780435
Africa,Export,Crustaceans,2010,73186,660429
Africa,Export,Fish,2010,1239640,3283059
Africa,Import,Crustaceans,2010,77818,220228
Africa,Import,Fish,2010,3198208,3170101
Americas,Export,Crustaceans,2010,730913,5334416
Americas,Export,Fish,2010,2947212,10356588
Americas,Import,Crustaceans,2010,875856,7793237
Americas,Import,Fish,2010,2802276,11824036
Asia,Export,Crustaceans,2010,2041209,12139113
Asia,Export,Fish,2010,8138702,22585313
Asia,Import,Crustaceans,2010,865214,6155424
Asia,Import,Fish,2010,8297589,21518007
Europe,Export,Crustaceans,2010,559338,4070101
Europe,Export,Fish,2010,10242860,32839488
Europe,Import,Crustaceans,2010,1147938,8090175
Europe,Import,Fish,2010,8771774,34062501
Oceania,Export,Crustaceans,2010,19730,636182
Oceania,Export,Fish,2010,504361,1308270
Oceania,Import,Crustaceans,2010,42913,344742
Oceania,Import,Fish,2010,239555,897099
Africa,Export,Crustaceans,2011,62562,655593
Africa,Export,Fish,2011,1364885,3417075
Africa,Import,Crustaceans,2011,73331,290488
Africa,Import,Fish,2011,3693338,4883558
Americas,Export,Crustaceans,2011,791080,6469391
Americas,Export,Fish,2011,3439020,12762450
Americas,Import,Crustaceans,2011,879772,9003427
Americas,Import,Fish,2011,2897447,13320043
Asia,Export,Crustaceans,2011,2060194,14701376
Asia,Export,Fish,2011,8441633,27008337
Asia,Import,Crustaceans,2011,915036,7701446
Asia,Import,Fish,2011,8585508,25528157
Europe,Export,Crustaceans,2011,546226,4495739
Europe,Export,Fish,2011,9964381,37045978
Europe,Import,Crustaceans,2011,1133735,9151497
Europe,Import,Fish,2011,8724176,38456179
Oceania,Export,Crustaceans,2011,17777,671486
Oceania,Export,Fish,2011,492609,1480653
Oceania,Import,Crustaceans,2011,42557,410411
Oceania,Import,Fish,2011,264043,1105725
Africa,Export,Crustaceans,2012,57014,564516
Africa,Export,Fish,2012,1504439,3802751
Africa,Import,Crustaceans,2012,68551,314470
Africa,Import,Fish,2012,3236469,4852665
Americas,Export,Crustaceans,2012,857431,6624259
Americas,Export,Fish,2012,3322828,12612498
Americas,Import,Crustaceans,2012,857096,8358788
Americas,Import,Fish,2012,2905321,14241241
Asia,Export,Crustaceans,2012,1732782,14220779
Asia,Export,Fish,2012,8739384,28797108
Asia,Import,Crustaceans,2012,955237,8395102
Asia,Import,Fish,2012,8455904,26234228
Europe,Export,Crustaceans,2012,503053,4229241
Europe,Export,Fish,2012,10484714,35671966
Europe,Import,Crustaceans,2012,1051903,8285324
Europe,Import,Fish,2012,8993783,37148514
Oceania,Export,Crustaceans,2012,17052,698988
Oceania,Export,Fish,2012,519291,1530941
Oceania,Import,Crustaceans,2012,48566,438085
Oceania,Import,Fish,2012,286718,1200065
Africa,Export,Crustaceans,2013,66577,698273
Africa,Export,Fish,2013,1559803,4042672
Africa,Import,Crustaceans,2013,64119,287441
Africa,Import,Fish,2013,3188107,4814885
Americas,Export,Crustaceans,2013,890400,7738680
Americas,Export,Fish,2013,3466202,13421248
Americas,Import,Crustaceans,2013,852522,9530316
Americas,Import,Fish,2013,3016425,14965255
Asia,Export,Crustaceans,2013,1720395,16074422
Asia,Export,Fish,2013,8876912,28632534
Asia,Import,Crustaceans,2013,928271,8511069
Asia,Import,Fish,2013,8511288,24424689
Europe,Export,Crustaceans,2013,494860,4316855
Europe,Export,Fish,2013,10728558,39736972
Europe,Import,Crustaceans,2013,1028230,8761146
Europe,Import,Fish,2013,9126505,41171640
Oceania,Export,Crustaceans,2013,19243,805821
Oceania,Export,Fish,2013,523559,1453142
Oceania,Import,Crustaceans,2013,45805,466765
Oceania,Import,Fish,2013,279660,1214817
Africa,Export,Crustaceans,2014,68829,708938
Africa,Export,Fish,2014,1571349,4126131
Africa,Import,Crustaceans,2014,67054,309660
Africa,Import,Fish,2014,3806711,5278069
Americas,Export,Crustaceans,2014,1002000,9346873
Americas,Export,Fish,2014,3565596,14067863
Americas,Import,Crustaceans,2014,935185,11636721
Americas,Import,Fish,2014,3065184,15611135
Asia,Export,Crustaceans,2014,1849723,18689221
Asia,Export,Fish,2014,8896090,28365532
Asia,Import,Crustaceans,2014,955691,9377684
Asia,Import,Fish,2014,8701886,24663308
Europe,Export,Crustaceans,2014,519252,4912483
Europe,Export,Fish,2014,11172620,41814536
Europe,Import,Crustaceans,2014,1052036,10136407
Europe,Import,Fish,2014,9319636,42328109
Oceania,Export,Crustaceans,2014,21439,966721
Oceania,Export,Fish,2014,575165,1476345
Oceania,Import,Crustaceans,2014,46638,569932
Oceania,Import,Fish,2014,341170,1338949
Africa,Export,Crustaceans,2015,60487,567285
Africa,Export,Fish,2015,1732401,3703786
Africa,Import,Crustaceans,2015,68394,265081
Africa,Import,Fish,2015,3679697,4812216
Americas,Export,Crustaceans,2015,1083749,9002758
Americas,Export,Fish,2015,3374127,12438250
Americas,Import,Crustaceans,2015,927429,10080928
Americas,Import,Fish,2015,3022762,14568938
Asia,Export,Crustaceans,2015,1700238,15027335
Asia,Export,Fish,2015,8380681,26175766
Asia,Import,Crustaceans,2015,949109,8572390
Asia,Import,Fish,2015,8684896,23588972
Europe,Export,Crustaceans,2015,513097,4465209
Europe,Export,Fish,2015,11014653,36802988
Europe,Import,Crustaceans,2015,991883,8585054
Europe,Import,Fish,2015,8908376,36381047
Oceania,Export,Crustaceans,2015,20283,887793
Oceania,Export,Fish,2015,602569,1445539
Oceania,Import,Crustaceans,2015,41002,411395
Oceania,Import,Fish,2015,285542,1097138
